name,industry,description,target_age,target_gender,target_interests,content_themes
Lizarran,Food & Restaurant,"Spanish tapas chain, pintxos bar, Basque-style, casual dining",18-60,Mixed,"Food,Tapas,Basque,Spanish tradition","Basque pintxos,Tapas bar,Spanish cuisine,Social dining"
Foster's Hollywood,Food & Restaurant,"American-style restaurant in Spain, burgers and ribs, casual dining",18-60,Mixed,"Food,American,Burgers,Family","American cuisine,Burgers,Ribs,Casual dining"
Tony Roma's,Food & Restaurant,"American ribs restaurant chain, BBQ focus, family-friendly",20-65,Mixed,"Food,BBQ,American,Family","BBQ ribs,American food,Family dining,Comfort food"
Domino's Pizza,Food & Restaurant,"American pizza chain, delivery focus, fast food",16-50,Mixed,"Food,Pizza,Delivery,Convenience","Pizza delivery,Fast food,Convenience,Online ordering"
Papa John's,Food & Restaurant,"American pizza chain, quality ingredients, delivery service",16-50,Mixed,"Food,Pizza,Delivery,Quality","Better pizza,Quality ingredients,Delivery,Family meals"
Subway,Food & Restaurant,"American sandwich chain, healthy fast food, customizable",16-55,Mixed,"Food,Healthy,Fast food,Customizable","Healthy fast food,Fresh sandwiches,Customizable meals,Quick service"
Pans & Company,Food & Restaurant,"Spanish sandwich chain, quick service, Mediterranean style",16-50,Mixed,"Food,Quick service,Mediterranean","Mediterranean sandwiches,Quick lunch,Spanish flavors,Casual dining"
Nostrum,Food & Restaurant,"Spanish healthy fast food chain, salads and bowls, fresh ingredients",18-45,Mixed,"Food,Healthy,Fresh,Fast casual","Healthy eating,Fresh salads,Bowls,Fast casual"
Honest Greens,Food & Restaurant,"Spanish healthy restaurant chain, organic focus, sustainable",20-50,Mixed,"Food,Healthy,Organic,Sustainability","Healthy food,Organic ingredients,Sustainable dining,Wellness"
Grosso Napoletano,Food & Restaurant,"Italian pizza chain in Spain, Neapolitan style, authentic",20-60,Mixed,"Food,Italian,Pizza,Authentic","Neapolitan pizza,Italian tradition,Authentic pizza,Quality ingredients"
Cervecería Catalana,Food & Restaurant,"Spanish tapas restaurant, Barcelona-based, quality tapas",25-70,Mixed,"Food,Tapas,Barcelona,Spanish cuisine","Quality tapas,Spanish cuisine,Barcelona,Traditional"
Lateral,Food & Restaurant,"Spanish tapas restaurant group, modern tapas, wine focus",25-65,Mixed,"Food,Tapas,Wine,Modern Spanish","Modern tapas,Wine culture,Spanish cuisine,Urban dining"
Goiko Grill,Food & Restaurant,"Spanish gourmet burger chain, craft burgers, young demographic",18-45,Mixed,"Food,Burgers,Gourmet,Young","Gourmet burgers,Craft food,Young dining,Urban restaurants"
TGB The Good Burger,Food & Restaurant,"Spanish burger chain, quality burgers, casual dining",16-50,Mixed,"Food,Burgers,Quality,Casual","Quality burgers,Casual dining,Urban food,Young dining"
La Fábrica,Food & Restaurant,"Spanish pizza and Italian chain, casual dining, family-friendly",All ages,Mixed,"Food,Pizza,Italian,Family","Pizza,Italian food,Family dining,Casual"
Wagamama,Food & Restaurant,"British Asian cuisine chain, ramen and noodles, fast casual",18-50,Mixed,"Food,Asian,Noodles,Fast casual","Asian cuisine,Ramen,Noodles,Fast casual dining"
Udon,Food & Restaurant,"Spanish Asian fusion chain, wok and sushi, casual dining",18-55,Mixed,"Food,Asian,Fusion,Sushi","Asian fusion,Wok,Sushi,Urban dining"
Muerde La Pasta,Food & Restaurant,"Spanish pasta chain, Italian food, quick service",18-55,Mixed,"Food,Pasta,Italian,Quick service","Fresh pasta,Italian fast food,Quick dining,Affordable"
El Corte Inglés Supermercado,Food & Grocery,"Premium supermarket section of El Corte Inglés, gourmet products",30-70,Mixed,"Grocery,Premium,Gourmet,Quality","Premium groceries,Gourmet products,Quality food,Specialty items"
OpenCor,Food & Grocery,"El Corte Inglés convenience stores, urban locations, late-night",18-60,Mixed,"Grocery,Convenience,Urban,Late-night","24-hour shopping,Urban convenience,Quick shopping,Late-night"
Bonpreu,Food & Grocery,"Catalan supermarket chain, regional focus, quality products",30-70,Mixed,"Grocery,Catalonia,Regional,Quality","Catalan supermarket,Regional products,Quality food,Local"
Bon Preu - Esclat,Food & Grocery,"Catalan supermarket group, regional presence, fresh focus",30-70,Mixed,"Grocery,Catalonia,Fresh,Regional","Catalan chain,Fresh products,Regional supermarket,Quality"
Caprabo,Food & Grocery,"Catalan supermarket chain, urban focus, Catalonia presence",25-70,Mixed,"Grocery,Catalonia,Urban","Urban supermarket,Catalonia,City shopping,Convenience"
Condis,Food & Grocery,"Spanish supermarket chain, Catalonia and Aragón, budget-friendly",25-70,Mixed,"Grocery,Budget,Catalonia","Budget supermarket,Value shopping,Regional chain,Affordable"
Family Cash,Food & Grocery,"Spanish cash and carry chain, wholesale, business focus",30-70,Mixed,"Grocery,Wholesale,Business,Bulk","Wholesale shopping,Cash and carry,Business supplies,Bulk buying"
Makro,Food & Grocery,"International cash and carry chain, wholesale, business and personal",30-70,Mixed,"Grocery,Wholesale,Business,Bulk","Wholesale,Cash and carry,Business shopping,Bulk purchases"
Día & Go,Food & Grocery,"DIA convenience format, urban locations, quick shopping",18-60,Mixed,"Grocery,Convenience,Urban,Quick","Quick shopping,Urban convenience,Express format,City stores"
Suma,Food & Grocery,"Cooperative supermarket chain, regional presence, competitive prices",25-70,Mixed,"Grocery,Cooperative,Value","Cooperative values,Value shopping,Regional chain,Community"
Supercor,Food & Grocery,"El Corte Inglés express supermarket, premium convenience",25-70,Mixed,"Grocery,Premium,Convenience,Express","Premium convenience,Express shopping,Quality products,Urban"
Spar Express,Food & Grocery,"Spar convenience format, gas stations and urban, quick shopping",18-70,Mixed,"Grocery,Convenience,Quick,Gas stations","Quick shopping,Convenience stores,Gas station,Express"
Mas,Food & Grocery,"Spanish supermarket chain, regional presence, value pricing",25-70,Mixed,"Grocery,Regional,Value","Regional supermarket,Value shopping,Local presence,Budget-friendly"
Día Maxi,Food & Grocery,"DIA larger format stores, comprehensive shopping, neighborhood focus",25-70,Mixed,"Grocery,Neighborhood,Comprehensive","Neighborhood supermarket,Full range,Comprehensive shopping,Local"
Parfois,Fashion & Retail,"Portuguese accessories brand, bags and jewelry, feminine style, affordable",18-45,Female,"Fashion,Accessories,Feminine,Affordable","Fashion accessories,Bags,Jewelry,Feminine style"
Blanco,Fashion & Retail,"Spanish fashion brand, feminine style, contemporary fashion",20-45,Female,"Fashion,Feminine,Contemporary","Feminine fashion,Contemporary style,Spanish design,Wardrobe essentials"
Hakei,Fashion & Retail,"Spanish footwear brand, comfortable shoes, quality leather",25-60,Mixed,"Fashion,Footwear,Comfort,Quality","Comfortable footwear,Quality shoes,Spanish craftsmanship,Leather"
Pikolinos,Fashion & Retail,"Spanish footwear brand, handcrafted shoes, comfort and style",25-65,Mixed,"Fashion,Footwear,Craftsmanship,Comfort","Handcrafted shoes,Comfort,Spanish footwear,Quality leather"
Panama Jack,Fashion & Retail,"Spanish footwear brand, casual shoes and boots, outdoor style",25-60,Mixed,"Fashion,Footwear,Outdoor,Casual","Casual footwear,Outdoor boots,Adventure style,Quality"
Hoss Intropia,Fashion & Retail,"Spanish fashion brand, bohemian style, feminine designs",25-50,Female,"Fashion,Bohemian,Feminine,Style","Bohemian fashion,Feminine style,Spanish design,Romantic"
Purificación García,Fashion & Retail,"Spanish luxury fashion brand, elegant designs, quality materials",30-65,Mixed,"Fashion,Luxury,Elegance,Quality","Luxury fashion,Elegant design,Quality materials,Spanish sophistication"
Roberto Verino,Fashion & Retail,"Spanish fashion designer, elegant style, quality craftsmanship",30-65,Mixed,"Fashion,Elegance,Design,Quality","Spanish design,Elegant fashion,Quality craftsmanship,Timeless style"
Mango Man,Fashion & Retail,"Mango menswear line, modern masculine style, quality basics",20-45,Male,"Fashion,Menswear,Modern,Quality","Modern menswear,Contemporary style,Quality basics,Urban fashion"
Superdry,Fashion & Retail,"British fashion brand, vintage Americana and Japanese graphics, young",16-40,Mixed,"Fashion,Street style,Vintage,Youth","Vintage style,Street fashion,Graphic designs,Youth culture"
Benetton,Fashion & Retail,"Italian fashion brand, colorful designs, family-oriented, social values",All ages,Mixed,"Fashion,Color,Family,Social","Colorful fashion,Family clothing,Social values,Italian style"
Lacoste,Fashion & Retail,"French fashion brand, tennis heritage, polo shirts, preppy style",20-60,Mixed,"Fashion,Sports,Preppy,Heritage","Preppy fashion,Sports heritage,Polo shirts,French elegance"
Tommy Hilfiger,Fashion & Retail,"American fashion brand, preppy style, all-American, classic",18-55,Mixed,"Fashion,Preppy,American,Classic","Preppy style,American fashion,Classic designs,Timeless"
Calvin Klein,Fashion & Retail,"American fashion brand, minimalist style, underwear and jeans, modern",18-50,Mixed,"Fashion,Minimalist,Modern,Underwear","Minimalist fashion,Modern style,Designer underwear,Contemporary"
Levi's,Fashion & Retail,"American denim brand, jeans heritage, iconic style, timeless",16-60,Mixed,"Fashion,Denim,Heritage,Timeless","Denim culture,Jeans heritage,Iconic style,American fashion"
Pepe Jeans,Fashion & Retail,"British denim brand, youthful style, casual fashion",16-45,Mixed,"Fashion,Denim,Youth,Casual","Casual denim,Youth fashion,British style,Urban"
Wrangler,Fashion & Retail,"American denim brand, Western heritage, rugged style",20-60,Mixed,"Fashion,Denim,Western,Rugged","Western denim,Rugged style,American heritage,Workwear"
Lee,Fashion & Retail,"American denim brand, classic jeans, quality denim",18-60,Mixed,"Fashion,Denim,Classic,Quality","Classic jeans,Quality denim,American brand,Timeless"
The North Face,Sports & Outdoor,"American outdoor brand, technical gear, mountain lifestyle",18-55,Mixed,"Outdoor,Mountain,Adventure,Technical","Outdoor adventure,Mountain gear,Technical clothing,Exploration"
Columbia,Sports & Outdoor,"American outdoor brand, outdoor clothing, adventure gear",20-60,Mixed,"Outdoor,Adventure,Hiking,Technical","Outdoor clothing,Adventure gear,Hiking,Nature"
Timberland,Fashion & Outdoor,"American footwear brand, boots and outdoor wear, urban outdoor",20-55,Mixed,"Fashion,Outdoor,Footwear,Urban","Outdoor boots,Urban outdoor,Quality footwear,Adventure style"
Napapijri,Fashion & Outdoor,"Italian outdoor fashion brand, technical style, colorful designs",18-50,Mixed,"Fashion,Outdoor,Technical,Style","Outdoor fashion,Technical style,Italian design,Urban outdoor"
Quiksilver,Sports & Fashion,"American surf and snowboard brand, beach lifestyle, action sports",14-40,Male,"Sports,Surf,Lifestyle,Action sports","Surf culture,Beach lifestyle,Action sports,Youth"
Roxy,Sports & Fashion,"American women's surf brand, beach lifestyle, active women",14-40,Female,"Sports,Surf,Beach,Active","Surf culture,Beach lifestyle,Active women,Feminine sports"
Rip Curl,Sports & Fashion,"Australian surf brand, surfing lifestyle, beach culture",14-45,Mixed,"Sports,Surf,Beach,Lifestyle","Surf culture,Beach lifestyle,Surfing,Ocean"
Billabong,Sports & Fashion,"Australian surf brand, beach lifestyle, action sports",14-45,Mixed,"Sports,Surf,Beach,Action sports","Surf culture,Beach fashion,Action sports,Youth lifestyle"
Vans,Fashion & Sports,"American skateboard brand, street style, youth culture",14-40,Mixed,"Fashion,Skateboarding,Street style,Youth","Skate culture,Street fashion,Youth style,Urban"
Converse,Fashion & Sports,"American footwear brand, iconic sneakers, casual style",14-55,Mixed,"Fashion,Sneakers,Casual,Youth","Iconic sneakers,Casual fashion,Street style,Timeless"
New Balance,Sports & Fitness,"American athletic brand, running shoes, performance and lifestyle",18-55,Mixed,"Sports,Running,Fitness,Lifestyle","Running shoes,Athletic performance,Lifestyle sneakers,Comfort"
Asics,Sports & Fitness,"Japanese running brand, performance shoes, technical gear",18-60,Mixed,"Sports,Running,Performance,Technical","Running performance,Technical gear,Athletic shoes,Japanese quality"
Puma,Sports & Fashion,"German athletic brand, sports performance and fashion, street culture",16-45,Mixed,"Sports,Fashion,Street style,Performance","Athletic fashion,Street culture,Performance,Style"
Reebok,Sports & Fitness,"American athletic brand, fitness focus, CrossFit, urban sports",18-50,Mixed,"Sports,Fitness,CrossFit,Urban","Fitness culture,CrossFit,Athletic wear,Urban sports"
Under Armour,Sports & Fitness,"American athletic brand, performance wear, innovation-driven",16-50,Mixed,"Sports,Performance,Innovation,Fitness","Athletic performance,Innovation,Fitness gear,Sports technology"
Salomon,Sports & Outdoor,"French outdoor sports brand, trail running and skiing, mountain sports",20-60,Mixed,"Outdoor,Trail running,Skiing,Mountain","Mountain sports,Trail running,Skiing,Outdoor adventure"
Skechers,Fashion & Footwear,"American footwear brand, comfort shoes, casual style, all ages",All ages,Mixed,"Fashion,Footwear,Comfort,Casual","Comfortable shoes,Casual footwear,All ages,Lifestyle"
Crocs,Fashion & Footwear,"American footwear brand, comfortable clogs, casual lifestyle",All ages,Mixed,"Fashion,Footwear,Comfort,Casual","Comfort footwear,Casual shoes,Lifestyle,Fun fashion"
Havaianas,Fashion & Footwear,"Brazilian flip-flop brand, beach lifestyle, colorful designs",14-60,Mixed,"Fashion,Beach,Summer,Casual","Beach lifestyle,Flip-flops,Summer fashion,Brazilian style"
Birkenstock,Fashion & Footwear,"German footwear brand, comfort sandals, orthopedic design",18-65,Mixed,"Fashion,Footwear,Comfort,Health","Comfort sandals,Orthopedic footwear,German quality,Wellness"
Clarks,Fashion & Footwear,"British footwear brand, quality shoes, comfort focus, timeless",25-70,Mixed,"Fashion,Footwear,Comfort,Quality","Quality footwear,Comfort shoes,British craftsmanship,Timeless"
Geox,Fashion & Footwear,"Italian footwear brand, breathable shoes, innovative technology",All ages,Mixed,"Fashion,Footwear,Innovation,Comfort","Breathable shoes,Italian design,Innovation,Comfort technology"
